domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,35.169.117.73,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,35.170.74.106,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,35.173.35.155,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,35.174.204.1,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,35.174.61.59,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,35.174.8.120,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,36.225.248.175,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,36.235.174.97,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,36.69.111.152,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,37.140.195.137,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,37.140.197.206,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,37.140.199.20,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,37.140.199.224,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,37.145.11.91,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,41.250.208.36,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,44.192.75.28,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,44.192.77.17,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,44.200.34.173,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,44.200.68.205,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,44.201.254.56,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,44.201.38.74,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,44.202.202.245,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,44.202.46.176,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,44.202.69.64,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,45.142.122.175,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,45.142.213.17,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,45.153.231.104,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,45.159.208.72,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,45.161.5.37,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,45.172.153.157,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,45.32.149.8,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,46.139.233.68,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,46.150.77.66,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,46.70.127.125,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,46.71.177.89,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,46.72.16.203,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,5.182.211.5,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,5.199.133.149,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,5.62.18.39,,ip,
